L,p,HF,HFp1
0,1,1204,902
1,1,14340,11050
2,1,178000,143860
3,1,2309860,1934324
4,1,30968784,26616744
0,2,271204,203252
1,2,3298300,2672786
2,2,42636240,35810380
3,2,569272396,490256564
4,2,7778775312,6826790124
